,0,1,2,3
407,bclaf1,elf2,1.0,1.0
408,bclaf1,ep300,1.0,1.0
409,bclaf1,foxo1,1.0,1.0
410,bclaf1,gabpa,1.0,1.0
411,bclaf1,hdac2,1.0,1.0
412,bclaf1,irf1,1.0,1.0
413,bclaf1,klf16,1.0,1.0
414,bclaf1,klf3,1.0,1.0
415,bclaf1,klf4,1.0,1.0
416,bclaf1,klf5,1.0,1.0
417,bclaf1,klf9,1.0,1.0
418,bclaf1,max,1.0,1.0
419,bclaf1,nfe2l2,1.0,1.0
420,bclaf1,nfib,1.0,1.0
421,bclaf1,nrf1,1.0,1.0
422,bclaf1,patz1,1.0,1.0
423,bclaf1,rad21,1.0,1.0
424,bclaf1,rest,1.0,1.0
425,bclaf1,sin3a,1.0,1.0
426,bclaf1,smc3,1.0,1.0
427,bclaf1,sp1,1.0,1.0
428,bclaf1,sp2,1.0,1.0
429,bclaf1,stat3,1.0,1.0
430,bclaf1,taf1,1.0,1.0
431,bclaf1,tfdp1,1.0,1.0
432,bclaf1,yy1,1.0,1.0
433,bclaf1,zbtb7a,1.0,1.0
434,bclaf1,zfp281,1.0,1.0
435,bdp1,chd2,1.0,1.0
436,bdp1,nrf1,1.0,1.0
437,polr2a,pou2f1,1.0,1.0
438,bdp1,polr3a,1.0,1.0
439,polr2a,sin3a,1.0,1.0
440,bdp1,smc3,1.0,1.0
441,bdp1,taf1,1.0,1.0
442,bdp1,tfdp2,1.0,1.0
443,bdp1,xbp1,1.0,1.0
444,polr3a,rad21,1.0,1.0
445,polr3a,rest,1.0,1.0
446,polr3a,setdb1,1.0,1.0
447,polr3a,smc3,1.0,1.0
448,polr3a,stat6,1.0,1.0
449,polr3a,taf1,1.0,1.0
450,polr3g,rad21,1.0,1.0
451,polr3g,rest,1.0,1.0
452,polr3g,setdb1,1.0,1.0
453,polr3g,smc3,1.0,1.0
454,polr3g,taf1,1.0,1.0
455,pou2f1,taf1,1.0,1.0
456,hic2,sin3a,1.0,1.0
457,max,mlx,1.0,1.0
458,max,mycn,1.0,1.0
459,max,nrf1,1.0,1.0
460,max,pura,1.0,1.0
461,max,setdb1,1.0,1.0
462,max,sin3a,1.0,1.0
463,max,smad2,1.0,1.0
464,max,smc3,1.0,1.0
465,max,sp1,1.0,1.0
466,max,srebf2,1.0,1.0
467,max,taf1,1.0,1.0
468,max,tfdp1,1.0,1.0
469,max,thap11,1.0,1.0
470,max,yy1,1.0,1.0
471,max,zbtb7a,1.0,1.0
472,max,zfp281,1.0,1.0
473,bptf,nrf1,1.0,1.0
474,bptf,setdb1,1.0,1.0
475,brca1,e2f1,1.0,1.0
476,pura,rad21,1.0,1.0
477,pura,rest,1.0,1.0
478,pura,sin3a,1.0,1.0
479,pura,sp1,1.0,1.0
480,pura,xbp1,1.0,1.0
481,rad21,setdb1,1.0,1.0
482,rad21,sp2,1.0,1.0
483,cbx5,stat3,1.0,1.0
484,ccnt2,ctcf,1.0,1.0
485,ccnt2,e2f1,1.0,1.0
