,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,mycn,sp1,1,1,0.253184333,0.295071928,0.816472899,0.519766615,19.56031661,9.429834247,1.234531381,0.193256438,0.188219542,23.95709231,18.14243925,1.774520512,1.295971429,1,0.104081535,0.29275514,7.577025453,7.284271132,1,-1
12,mycn,stat3,1,1,0.274306009,1.072821614,0.947058596,1.772391032,20.00231064,8.201096457,0.927387408,0.212699682,0.668301334,21.12045729,4.62713719,1.775034157,0.757395505,1,0.045036241,0.273101066,6.970692557,2.459012991,1,-1
13,mycn,tfdp1,1,1,0.236346377,0.474014863,0.939750659,1.823902932,20.20129459,5.595032434,6.061301373,0.188850628,0.376234999,21.49644099,3.067615242,1.878873184,1.804938272,1,0.272335726,0.256240539,3.994704685,3.216958234,1,1
14,mycn,tfdp2,1,1,0.271357854,0.270038921,1.079986908,0.512182681,21.11247196,4.125584113,1.816503209,0.216867626,0.176815954,19.54882212,8.054907489,1.924232017,1.734342261,1,0.123696634,0.25611496,4.060915927,2.230643636,1,1
15,sp1,sp2,1,1,0.0001,2.325308488,54.05655322,449.0260482,8.415617987,281.1967281,188.5553633,1.00E-04,2.313328776,0.155681735,0.626237006,1.192273021,1.316575697,1,0.123086314,0.14636714,1.339085101,1.463178491,0,1
16,mycn,yy1,1,1,0.325065547,0.206748498,1.135300478,0.227268477,21.17896563,4.734936727,2.495182089,0.252708612,0.108261702,18.65494293,20.83411121,1.654247392,1.29942082,1,0.19501828,0.327384622,4.796468903,4.53099335,1,1
17,sp1,srebf2,1,1,0.382811973,0.17482662,0.832400775,0.370754045,11.89190949,5.344463995,1.983087593,0.262219915,0.118804937,14.28627873,14.41511985,1.239632201,1.914398068,1,0.172250468,0.274740632,6.088657366,2.999440327,1,1
18,mycn,zfp281,1,1,0.253282461,0.370146876,0.847595967,0.685536856,19.75237976,4.184501107,0.561822012,0.195008992,0.24036491,23.30400395,6.103976862,1.812122953,1.564643913,1,0.038513893,0.205629287,2.084517335,1.849737573,-1,1
19,sp1,taf1,1,1,0.334336463,0.015128364,0.677763148,0.039719742,10.22550048,7.337698144,-0.297676331,0.223891928,0.010955615,15.08712964,184.7368045,1.341237683,3.10858398,1,-0.032629309,0.215148368,0.598693606,4.395598877,-1,1
20,sp1,tbp,1,1,0.291209254,0.6628532,0.719736229,2.590931106,10.36842433,5.695515788,4.283353188,0.207324583,0.527818322,14.40586693,2.198250573,1.307940195,1.799389266,1,0.171274949,0.174987766,8.468598522,3.580689365,1,1
21,klf10,klf4,1,1,0.0001,2.432598107,16.95346719,30.64914451,6.454717374,236.6617068,13.5311539,1.00E-04,2.253721993,0.380731405,7.721641522,0.588613339,0.694032366,1,0.206370273,0.287496818,7.37963859,32.35359575,1,1
22,klf10,patz1,1,1,2.63648124,0.005736059,35.61634963,6.48601229,52.11660981,7.402521405,14.47601986,2.454768327,0.005730991,1.46327769,1.141305485,0.633325908,1.51119761,1,0.082152705,0.15147842,5.338559363,2.459979618,1,1
23,sp1,tfdp1,1,1,0.317912556,0.66982648,0.615333829,3.483014493,9.754244189,7.902230921,2.94199871,0.209614903,0.561787787,15.85195504,2.268790709,1.321745586,1.790864436,1,0.104865424,0.163811232,2.737056919,2.72267387,1,1
24,myef2,smc3,1,1,5.850479257,0.569357749,581.1552192,441.6778837,684.3832646,59.03123541,90.45964031,5.792169588,0.568624747,1.177625602,0.133652233,2.379655137,0.453535071,1,0.179934649,0.240293352,7.57726236,1.678632982,1,1
