0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
33,arnt,atf1,1,1,0.518769768,9.445824823,11.95568166,26.8740555,1.925846142,59.48475577,4.011914464,0.497195908,6.989219631,0.161082086,2.213464052,1.109309889,0.406033348,1,0.191954196,0.051472152,0.991752283,2.784203616,1,1
34,arnt,atf2,1,1,0.181266868,8.415244648,10.46776912,39.74072994,1.925728467,35.14919347,5.821562879,0.178181361,6.944682727,0.183967419,0.884462704,1.109309889,0.552500652,1,0.123961088,0.030737242,0.524076639,1.907447751,1,1
35,arnt,brf2,1,1,1.930054952,1.855581838,1.949165569,2.257201556,2.025938065,3.116106199,3.661943896,0.969781594,1.01839115,1.039387365,1.380517478,1.111582267,0.988680076,1,0.096026454,0.016191437,0.221648882,0.652493532,1,1
36,arnt,ccnt2,1,1,1.773002666,4.134931945,2.624206495,5.804252986,2.338217861,3.626415569,4.012842927,1.058108664,2.414704149,0.891019006,0.624785925,1.120716792,0.756001485,1,0.043362994,0.016022633,0.319097593,0.040939258,1,1
37,arnt,creb3,1,1,2.583842233,3.086900539,0.273848975,0.375437452,2.009122187,1.593192575,5.533755867,0.24760637,0.334727019,7.336606554,4.24356325,1.101600366,1.101701323,1,0.130824012,0.023376163,0.435481613,0.074470267,1,1
38,klf13,klf2,1,1,1.968664854,7.7008795,18.1164099,9.293303104,10.25906756,220.154717,2.446590115,1.775703595,4.211241519,0.566285904,23.68960901,0.710031129,0.495537911,1,0.3117813,0.194492251,18.92050148,55.93708221,1,1
39,klf13,klf3,1,1,7.124628953,1.603983504,6.263151327,14.09814129,14.72765569,11.52816657,2.092872647,3.333086468,1.440135419,2.351476904,0.817708259,0.734087469,0.618600746,1,0.259472691,0.062466897,3.942930751,4.463015683,1,1
40,klf13,klf4,1,1,0.246865606,0.252219827,5.246123765,4.833138466,11.26625053,45.71563827,7.674685878,0.235770987,0.239710415,2.147538075,9.458789272,0.717879261,0.569133142,1,0.163533468,0.108277388,9.058383727,7.841202032,1,1
41,klf13,klf5,1,1,4.686595344,1.576300335,35.11317917,32.97544041,51.4867558,22.93813389,8.781539937,4.134728501,1.504387236,1.466308578,0.695612662,0.750665975,0.556352989,1,0.216723937,0.077865927,10.97020406,8.123743251,1,1
42,arnt,cxxc1,1,1,0.243532598,8.675592748,22.74438012,70.84628096,2.050515053,29.31903156,9.264305799,0.240952627,7.729112163,0.090154801,0.413840094,1.110364241,0.79058946,1,0.095011314,0.019705777,0.071925235,0.187949042,1,1
43,arnt,e2f1,1,1,0.762355363,0.597024808,5.170871243,3.876042069,2.802336588,9.986592325,5.209957326,0.664400955,0.517339297,0.541946696,2.576492243,1.127654026,0.66349952,1,0.162717771,0.034651743,1.129598334,2.881654916,1,1
44,klf13,klf9,1,1,16.23642616,1.782189274,2.825549987,19.28012923,13.47298597,37.00096756,1.201864761,2.406719711,1.631389228,4.768270259,1.919124458,0.720854295,0.337756005,1,0.266584455,0.09145828,6.296526953,14.11156024,1,1
45,arnt,elf1,1,1,1.889517205,1.362328997,2.166924053,1.477710112,2.382868673,2.098947318,1.397181511,1.009367576,0.708837892,1.09965491,1.42040533,1.123576497,1.267634644,1,0.016737491,0.012258615,0.02134319,0.058184066,1,-1
46,klf13,max,1,1,14.87986662,21.52252766,417.5597516,228.5306389,18.98074471,279.0320698,12.0322246,14.36786351,19.67004483,0.045456356,1.220983196,0.735083826,0.557685541,1,0.331829538,0.086327181,10.15940916,8.82873937,1,1
47,klf13,maz,1,1,5.556302017,20.94688562,106.6516158,55.50567783,17.17083752,73.76612779,3.788888295,5.281165532,15.20774494,0.160999319,1.32898346,0.735201662,0.422950765,1,0.336470142,0.08609755,8.189881068,8.628911957,1,1
48,klf13,nfkb1,1,1,0.144518905,5.337442979,34.70484783,96.75369137,13.51557486,34.70801952,19.14281326,0.143919591,5.058395266,0.389443427,0.358725533,0.728049327,1.07092239,1,0.062909133,0.031871612,1.287642266,1.14850426,1,1
49,arnt,jund,1,1,0.169603706,6.514737146,159.3970915,223.7635014,3.877354055,1429.194737,34.73729302,0.169423434,6.330430543,0.024325124,6.387077106,1.140523376,0.703549387,1,0.147920326,0.086766726,2.504845992,12.69328454,1,1
50,arnt,klf10,1,1,0.12540162,3.449956622,5.999550589,5.612445141,2.222006652,6.75958826,2.681721324,0.12283416,2.136596102,0.370362183,1.204392754,1.111862024,0.764706324,1,0.088893455,0.024692803,0.221512585,0.6398479,1,1
51,klf13,nrf1,1,1,13.16074208,2.021408234,7.891558285,22.32455345,18.59959389,11.83080351,1.740170297,4.933368867,1.853573778,2.356897487,0.529945808,0.744459521,0.553082485,1,0.309689931,0.072039548,4.206173211,5.564803665,1,1
52,arnt,klf15,1,1,0.306648707,3.08347249,4.908404216,2.829894816,2.048489138,8.591842085,2.037572778,0.288617551,1.47562334,0.417343203,3.036099447,1.114285537,0.744800905,1,0.136066544,0.026856388,0.766075555,1.253252833,1,1
