,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,klf10,tcf3,1,1,2.323393482,1.00E-04,261.4158836,1.512181377,382.5574045,8.074704189,14.31221088,2.302925703,1.00E-04,1.463405357,5.339772273,0.725717566,2.685352849,1,0.017494467,0.240275955,4.749728261,3.786287094,1,-1
30,klf10,tcf4,1,1,1.133108576,0.777670901,0.975458896,2.590850213,6.071636919,9.073269207,1.313498923,0.524195149,0.598134538,6.224390326,3.502043137,0.578463193,1.247630361,1,0.040460266,0.149032073,1.809473525,2.38346185,1,1
31,sp1,yy1,1,1,0.369874291,0.235475072,0.690847235,0.317604851,10.53765761,5.243485975,-1.127772292,0.240898883,0.135221009,15.25323845,16.50946438,1.189909787,1.383424,1,-0.100306529,0.222848927,3.450876216,3.972540456,1,1
32,sp1,zbtb7a,1,1,1.00E-04,1.891604587,27.73262166,628.6822484,9.261691855,404.7737703,87.56780491,1.00E-04,1.885930124,0.333963805,0.643844758,1.253614891,1.511081422,1,0.036653228,0.118292573,2.4838275,1.706857142,1,1
33,klf10,yy1,1,1,2.164719881,0.0001,85.87663939,7.265122259,140.0547067,5.340910496,30.46483778,2.111494758,1.00E-04,1.630882481,0.735143925,0.733777607,1.433145433,1,0.122957032,0.190082897,10.66701885,2.785809539,1,-1
34,klf10,zbtb7a,1,1,1.00E-04,13.4056983,15.48708743,251.1299506,5.919266396,97.03949454,15.73916517,1.00E-04,12.72634658,0.382206559,0.386411475,0.592963522,1.336990839,1,0.134784616,0.102532346,1.259741234,0.696381305,1,1
35,sp1,zfp281,1,1,0.304321765,0.274625429,0.495912045,0.367899261,8.566812203,3.629305697,2.491006062,0.188590918,0.157246086,17.27486211,9.864944248,1.250547845,1.47458353,1,0.217609238,0.17314428,8.474418902,3.403024734,1,1
36,sp1,zfp740,1,1,1.072148212,1.219053966,0.12656494,87.30331579,9.765844694,153.0275903,-3.414537649,0.113201707,1.202266203,77.16074182,1.752826785,1.320938776,2.005782984,1,-0.035742314,0.189244651,2.962995241,2.422786262,1,-1
37,sp2,stat3,1,1,2.42363738,1.00E-04,348.2649174,11.26466195,197.9076801,9.251436138,14.67781659,2.406887423,1.00E-04,0.568267633,0.821279518,1.304444444,0.880029514,1,0.010199111,0.075792921,1.459763373,1.150645006,1,1
38,sp2,taf1,1,1,2.346031918,0.055700792,207.597515,0.041860198,137.5494637,7.294694388,-2.126814353,2.319815986,0.02389937,0.662577602,174.2632558,1.317272816,3.259913818,1,-0.052629862,0.130770981,0.13010568,0.571492294,-1,-1
39,sp2,tbp,1,1,0.0001,50.41361429,1000,1000,557.3879589,8.080011022,6.09002948,1.00E-04,47.99406025,0.557387959,0.008080011,1.349324907,1.865171702,1,0.092240215,0.065541201,0.828071833,0.136942619,1,1
40,sp2,tfdp1,1,1,2.244146729,1.00E-04,607.8196907,49.03239355,411.1083226,6.080297024,88.0073743,2.235891536,1.00E-04,0.676365588,0.124005715,1.366554583,1.752649151,1,0.025251763,0.087583799,0.60676008,0.541155154,-1,-1
41,sp2,xbp1,1,1,2.798068985,2.909871284,266.3446556,1.181788298,146.224003,4.726695647,-2.623991842,2.768979623,0.840454041,0.549002955,3.999612837,1.258329029,1.252431183,1,-0.021055171,0.09882828,1.030477387,1.172302586,-1,1
