,0,1,2,3
326,hdac2,sp1,1.0,1.0
327,klf6,xbp1,1.0,1.0
328,klf6,yy1,1.0,1.0
329,hdac2,tcf12,1.0,1.0
330,xbp1,yy1,1.0,1.0
331,klf6,zbtb7b,1.0,1.0
332,klf6,zeb1,1.0,1.0
333,klf6,zfp148,1.0,1.0
334,xbp1,zfp281,1.0,1.0
335,klf6,zfp281,1.0,1.0
336,yy1,zbtb4,1.0,1.0
337,yy1,zbtb7a,1.0,1.0
338,yy1,zbtb7b,1.0,1.0
339,hdac2,tfdp1,1.0,1.0
340,yy1,zfp148,1.0,1.0
341,klf7,max,1.0,1.0
342,hdac2,tgif1,1.0,1.0
343,klf7,mbd2,1.0,1.0
344,hdac2,yy1,1.0,1.0
345,hdac2,zbtb7a,1.0,1.0
346,hdac2,zbtb7b,1.0,1.0
347,klf7,myc,1.0,1.0
348,hdac2,zeb1,1.0,1.0
349,hdac2,zfp148,1.0,1.0
350,hdac2,zfp281,1.0,1.0
351,klf7,pura,1.0,1.0
352,fos,gtf2i,1.0,1.0
353,klf7,rela,1.0,1.0
354,klf7,rest,1.0,1.0
355,fos,hbp1,1.0,1.0
356,fos,hdac2,1.0,1.0
357,fos,jun,1.0,1.0
358,klf7,smc3,1.0,1.0
359,klf7,sp1,1.0,1.0
360,fos,klf3,1.0,1.0
361,fos,klf6,1.0,1.0
362,zbtb4,zfp281,1.0,1.0
363,zbtb7a,zbtb7b,1.0,1.0
364,fos,maff,1.0,1.0
365,klf7,srf,1.0,1.0
366,osr1,rad21,1.0,1.0
367,klf7,stat3,1.0,1.0
368,fos,mafk,1.0,1.0
369,fos,mbd2,1.0,1.0
370,fos,mga,1.0,1.0
371,fos,myc,1.0,1.0
372,klf7,tcf12,1.0,1.0
373,klf7,tcf7l2,1.0,1.0
374,zbtb7a,zeb1,1.0,1.0
375,zbtb7a,zfp148,1.0,1.0
376,zbtb7a,zfp281,1.0,1.0
377,zbtb7b,zfp148,1.0,1.0
378,klf7,tfdp1,1.0,1.0
379,zeb1,zfp148,1.0,1.0
380,klf7,vdr,1.0,1.0
381,klf7,vezf1,1.0,1.0
382,fos,rest,1.0,1.0
383,klf7,xbp1,1.0,1.0
384,klf7,yy1,1.0,1.0
385,fos,sp1,1.0,1.0
386,klf7,zbtb7a,1.0,1.0
387,klf7,zbtb7b,1.0,1.0
388,klf7,zeb1,1.0,1.0
389,klf7,zfp148,1.0,1.0
390,e2f4,egr1,1.0,1.0
391,fos,srf,1.0,1.0
392,klf7,zfp281,1.0,1.0
393,fos,stat3,1.0,1.0
394,e2f4,elf4,1.0,1.0
395,zfp148,zfp281,1.0,1.0
396,e2f4,elk3,1.0,1.0
397,fos,ubp1,1.0,1.0
398,e2f4,ets1,1.0,1.0
399,fos,vezf1,1.0,1.0
400,fos,yy1,1.0,1.0
401,fos,zbtb7a,1.0,1.0
402,fos,zbtb7b,1.0,1.0
403,fos,zeb1,1.0,1.0
404,fos,zfp148,1.0,1.0
405,e2f4,fos,1.0,1.0
406,e2f4,gabpa,1.0,1.0
407,e2f4,hdac2,1.0,1.0
408,e2f4,hsf1,1.0,1.0
409,e2f4,irf3,1.0,1.0
410,e2f4,max,1.0,1.0
411,e2f4,mbd2,1.0,1.0
412,e2f4,nfe2l2,1.0,1.0
413,fosl1,jun,1.0,1.0
414,fosl1,klf4,1.0,1.0
415,fosl1,klf6,1.0,1.0
416,fosl1,klf7,1.0,1.0
417,e2f4,sp1,1.0,1.0
418,fosl1,nfic,1.0,1.0
419,e2f4,srf,1.0,1.0
420,e2f4,tcf12,1.0,1.0
421,e2f4,tfdp1,1.0,1.0
422,fosl1,tcf12,1.0,1.0
423,fosl1,tcf4,1.0,1.0
424,fosl1,yy1,1.0,1.0
425,fosl1,zeb1,1.0,1.0
426,e2f4,yy1,1.0,1.0
427,e2f4,zbtb7a,1.0,1.0
428,e2f4,zbtb7b,1.0,1.0
429,fosl2,jun,1.0,1.0
430,fosl2,klf6,1.0,1.0
431,fosl2,klf7,1.0,1.0
432,fosl2,stat3,1.0,1.0
433,fosl2,tcf12,1.0,1.0
434,fosl2,yy1,1.0,1.0
435,fosl2,zbtb4,1.0,1.0
436,bclaf1,cenpb,1.0,1.0
437,bclaf1,e2f1,1.0,1.0
438,bclaf1,e2f4,1.0,1.0
439,bclaf1,ebf1,1.0,1.0
440,bclaf1,egr1,1.0,1.0
441,bclaf1,esrra,1.0,1.0
442,bclaf1,ets1,1.0,1.0
443,bclaf1,fos,1.0,1.0
444,pbx1,tcf7l2,1.0,1.0
445,pbx1,zfp281,1.0,1.0
446,bclaf1,gabpa,1.0,1.0
447,bclaf1,hdac2,1.0,1.0
448,bclaf1,klf3,1.0,1.0
449,bclaf1,klf4,1.0,1.0
450,bclaf1,klf6,1.0,1.0
451,bclaf1,klf7,1.0,1.0
452,bclaf1,max,1.0,1.0
453,bclaf1,mbd2,1.0,1.0
454,bclaf1,myc,1.0,1.0
455,bclaf1,nfe2l2,1.0,1.0
456,bclaf1,nfia,1.0,1.0
457,bclaf1,nfic,1.0,1.0
458,bclaf1,nfix,1.0,1.0
459,bclaf1,rad21,1.0,1.0
460,bclaf1,rarg,1.0,1.0
461,bclaf1,rest,1.0,1.0
462,bclaf1,smc3,1.0,1.0
463,bclaf1,sp1,1.0,1.0
464,bclaf1,srf,1.0,1.0
465,bclaf1,stat3,1.0,1.0
466,zeb1,zfp281,1.0,1.0
467,bclaf1,tfdp1,1.0,1.0
468,bclaf1,yy1,1.0,1.0
469,bclaf1,zbtb7a,1.0,1.0
470,bclaf1,zbtb7b,1.0,1.0
471,maff,mafk,1.0,1.0
472,bclaf1,zeb1,1.0,1.0
473,bclaf1,zfp148,1.0,1.0
474,bclaf1,zfp281,1.0,1.0
475,maff,mga,1.0,1.0
476,maff,myc,1.0,1.0
477,maff,nr3c1,1.0,1.0
478,maff,polr3a,1.0,1.0
479,maff,rarg,1.0,1.0
480,maff,rest,1.0,1.0
481,bdp1,maff,1.0,1.0
482,bdp1,mafk,1.0,1.0
483,maff,sp1,1.0,1.0
484,bdp1,polr3a,1.0,1.0
485,bdp1,smc3,1.0,1.0
486,bdp1,srebf1,1.0,1.0
487,bdp1,xbp1,1.0,1.0
488,maff,twist2,1.0,1.0
489,maff,vezf1,1.0,1.0
490,maff,zbtb7b,1.0,1.0
491,polr3a,rad21,1.0,1.0
492,polr3a,rest,1.0,1.0
493,polr3a,smc3,1.0,1.0
494,polr3a,stat6,1.0,1.0
495,mafk,myc,1.0,1.0
496,mafk,nr3c1,1.0,1.0
497,mafk,pura,1.0,1.0
498,mafk,rarg,1.0,1.0
499,mafk,rest,1.0,1.0
500,mafk,sp1,1.0,1.0
501,mafk,tcf7l2,1.0,1.0
502,mafk,vdr,1.0,1.0
503,mafk,vezf1,1.0,1.0
504,mafk,yy1,1.0,1.0
505,mafk,zbtb7a,1.0,1.0
506,mafk,zbtb7b,1.0,1.0
507,mafk,zeb1,1.0,1.0
508,mafk,zfp148,1.0,1.0
509,max,mbd2,1.0,1.0
510,max,mlx,1.0,1.0
511,max,myc,1.0,1.0
512,max,nfkb2,1.0,1.0
513,max,prrx1,1.0,1.0
514,max,pura,1.0,1.0
515,max,smad2,1.0,1.0
516,max,smad3,1.0,1.0
